ivm-iso20022-schema-v1	19	193	183
record	owner	key	requirement	max_occurs	kind	values	target
field	SESE023	Lnkgs/Lnkg[*]/Ref/Prtry	optional	16	text	-	-
field	SESE023	SctiesLeg/FinInstrmId	required	none	instrument	-	-
field	SESE023	SctiesLeg/Qty	required	none	numeric	-	-
field	SESE023	CashLeg/Amt	required	none	amount	-	-
field	SESE023	CashLeg/Ccy	required	none	identifier:currency	-	-
field	SESE023	DlvrgSttlmPties/Pty/Bic	required	none	identifier:bic	-	-
field	SESE023	DlvrgSttlmPties/Acct	required	none	text	-	-
field	SESE023	RcvgSttlmPties/Pty/Bic	required	none	identifier:bic	-	-
field	SESE023	RcvgSttlmPties/Acct	required	none	text	-	-
field	SESE023	Plan/ExecutionOrder	required	none	enum	DELIVERY_THEN_PAYMENT|PAYMENT_THEN_DELIVERY	-
field	SESE023	Plan/Atomicity	required	none	enum	ALL_OR_NOTHING|COMMIT_FIRST_LEG|COMMIT_SECOND_LEG	-
field	SESE023	SctiesLeg/Metadata	optional	none	text	-	-
field	SESE023	CashLeg/Metadata	optional	none	text	-	-
alias	SESE023	Document/SctiesSttlmTxInstr/TxId	-	-	-	-	TxId
alias	SESE023	Document/SctiesSttlmTxInstr/FctvSttlmDt	-	-	-	-	SttlmDt
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmDt	-	-	-	-	SttlmDt
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmTpAndAddtlParams/SctiesMvmntTp	-	-	-	-	SttlmTpAndAddtlParams/SctiesMvmntTp
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmTpAndAddtlParams/Pmt	-	-	-	-	SttlmTpAndAddtlParams/Pmt
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmParams/HldInd	-	-	-	-	SttlmParams/HldInd
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmParams/PrtlSttlmInd	-	-	-	-	SttlmParams/PrtlSttlmInd
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmParams/PlcOfSttlm/MktId	-	-	-	-	PlcOfSttlm/MktId
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmParams/SttlmTxCond/Cd	-	-	-	-	SttlmParams/SttlmTxCond/Cd
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmParams/SttlmTxCond/Prtry	-	-	-	-	SttlmParams/SttlmTxCond/Cd
alias	SESE023	Document/SctiesSttlmTxInstr/Lnkgs/Lnkg[*]/Tp/Cd	-	-	-	-	Lnkgs/Lnkg[*]/Tp/Cd
alias	SESE023	Document/SctiesSttlmTxInstr/Lnkgs/Lnkg[*]/Ref/Prtry	-	-	-	-	Lnkgs/Lnkg[*]/Ref/Prtry
alias	SESE023	Document/SctiesSttlmTxInstr/SctiesMvmntDtls/SctiesId/ISIN	-	-	-	-	SctiesLeg/FinInstrmId
alias	SESE023	Document/SctiesSttlmTxInstr/SctiesMvmntDtls/SctiesId/OthrId/Id	-	-	-	-	SctiesLeg/FinInstrmId
alias	SESE023	Document/SctiesSttlmTxInstr/PlcOfSttlm/MktId	-	-	-	-	PlcOfSttlm/MktId
alias	SESE023	Document/SctiesSttlmTxInstr/PlcOfTrad/MktId	-	-	-	-	PlcOfSttlm/MktId
alias	SESE023	Document/SctiesSttlmTxInstr/SctiesMvmntDtls/Qty/QtyChc/Unit	-	-	-	-	SctiesLeg/Qty
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmAmt	-	-	-	-	CashLeg/Amt
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmAmt/@Ccy	-	-	-	-	CashLeg/Ccy
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/DlvrgSttlmPties/Pty/Id/AnyBIC	-	-	-	-	DlvrgSttlmPties/Pty/Bic
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/DlvrgSttlmPties/Pty/Id/OrgId/AnyBIC	-	-	-	-	DlvrgSttlmPties/Pty/Bic
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/DlvrgSttlmPties/Acct/Id/Othr/Id	-	-	-	-	DlvrgSttlmPties/Acct
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/RcvgSttlmPties/Pty/Id/AnyBIC	-	-	-	-	RcvgSttlmPties/Pty/Bic
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/RcvgSttlmPties/Pty/Id/OrgId/AnyBIC	-	-	-	-	RcvgSttlmPties/Pty/Bic
alias	SESE023	Document/SctiesSttlmTxInstr/SttlmPties/RcvgSttlmPties/Acct/Id/Othr/Id	-	-	-	-	RcvgSttlmPties/Acct
alias	SESE023	Document/SctiesSttlmTxInstr/SplmtryData/Plan/ExecutionOrder	-	-	-	-	Plan/ExecutionOrder
alias	SESE023	Document/SctiesSttlmTxInstr/SplmtryData/Plan/Atomicity	-	-	-	-	Plan/Atomicity
alias	SESE023	Document/SctiesSttlmTxInstr/SplmtryData/SctiesLeg/Metadata	-	-	-	-	SctiesLeg/Metadata
alias	SESE023	Document/SctiesSttlmTxInstr/SplmtryData/CashLeg/Metadata	-	-	-	-	CashLeg/Metadata
schema	SESE024	sese.024	-	-	-	-	-
field	SESE024	TxId	required	none	text	-	-
field	SESE024	SttlmSts	required	none	enum	ACCP|CAND|CANC|PART|PEND|PENF|REJT|RJCT|SETT	-
field	SESE024	SttlmDt	optional	none	date	-	-
field	SESE024	RsnCd	optional	none	text	-	-
field	SESE024	AddtlInf	optional	none	text	-	-
alias	SESE024	Document/SctiesSttlmTxStsAdvc/TxId	-	-	-	-	TxId
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxId	-	-	-	-	TxId
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmDt	-	-	-	-	SttlmDt
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxSts/Sts/Cd	-	-	-	-	SttlmSts
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxSts/Sts/Prtry	-	-	-	-	SttlmSts
alias	SESE024	Document/SctiesSttlmTxStsAdvc/TxSts/Sts/Cd	-	-	-	-	SttlmSts
alias	SESE024	Document/SctiesSttlmTxStsAdvc/TxSts/Sts/Prtry	-	-	-	-	SttlmSts
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxSts/Rsn/Cd	-	-	-	-	RsnCd
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxSts/Rsn/Prtry	-	-	-	-	RsnCd
alias	SESE024	Document/SctiesSttlmTxStsAdvc/SttlmTxSts/AddtlInf	-	-	-	-	AddtlInf
schema	SESE025	sese.025	-	-	-	-	-
field	SESE025	TxId	required	none	text	-	-
field	SESE025	SttlmDt	required	none	date	-	-
field	SESE025	SttlmTpAndAddtlParams/SctiesMvmntTp	required	none	enum	DELI|RECE	-
field	SESE025	SttlmTpAndAddtlParams/Pmt	required	none	enum	APMT|FREE	-
field	SESE025	SttlmParams/HldInd	optional	none	enum	true|false	-
field	SESE025	SttlmParams/PrtlSttlmInd	optional	none	enum	NPAR|PART|PARQ|PARC	-
field	SESE025	SttlmParams/SttlmTxCond/Cd	optional	none	text	-	-
field	SESE025	PlcOfSttlm/MktId	optional	none	identifier:mic	-	-
field	SESE025	ConfSts	required	none	enum	ACCP|PEND|PART|RJCT	-
field	SESE025	SttlmQty	required	none	numeric	-	-
field	SESE025	SttlmAmt	required	none	amount	-	-
field	SESE025	SttlmCcy	required	none	identifier:currency	-	-
field	SESE025	SctiesLeg/FinInstrmId	optional	none	instrument	-	-
field	SESE025	SctiesLeg/Qty	optional	none	numeric	-	-
field	SESE025	DlvrgSttlmPties/Pty/Bic	optional	none	identifier:bic	-	-
field	SESE025	DlvrgSttlmPties/Acct	optional	none	text	-	-
field	SESE025	RcvgSttlmPties/Pty/Bic	optional	none	identifier:bic	-	-
field	SESE025	RcvgSttlmPties/Acct	optional	none	text	-	-
field	SESE025	Plan/ExecutionOrder	required	none	enum	DELIVERY_THEN_PAYMENT|PAYMENT_THEN_DELIVERY	-
field	SESE025	Plan/Atomicity	required	none	enum	ALL_OR_NOTHING|COMMIT_FIRST_LEG|COMMIT_SECOND_LEG	-
field	SESE025	RsnCd	optional	none	text	-	-
field	SESE025	AddtlInf	optional	none	text	-	-
alias	SESE025	Document/SctiesSttlmTxConf/TxId	-	-	-	-	TxId
alias	SESE025	Document/SctiesSttlmTxConf/SttlmDt	-	-	-	-	SttlmDt
alias	SESE025	Document/SctiesSttlmTxConf/FctvSttlmDt	-	-	-	-	SttlmDt
alias	SESE025	Document/SctiesSttlmTxConf/SttlmTpAndAddtlParams/SctiesMvmntTp	-	-	-	-	SttlmTpAndAddtlParams/SctiesMvmntTp
alias	SESE025	Document/SctiesSttlmTxConf/SttlmTpAndAddtlParams/Pmt	-	-	-	-	SttlmTpAndAddtlParams/Pmt
alias	SESE025	Document/SctiesSttlmTxConf/SttlmParams/HldInd	-	-	-	-	SttlmParams/HldInd
alias	SESE025	Document/SctiesSttlmTxConf/SttlmParams/PrtlSttlmInd	-	-	-	-	SttlmParams/PrtlSttlmInd
alias	SESE025	Document/SctiesSttlmTxConf/SttlmParams/PlcOfSttlm/MktId	-	-	-	-	PlcOfSttlm/MktId
alias	SESE025	Document/SctiesSttlmTxConf/PlcOfSttlm/MktId	-	-	-	-	PlcOfSttlm/MktId
alias	SESE025	Document/SctiesSttlmTxConf/SttlmParams/SttlmTxCond/Cd	-	-	-	-	SttlmParams/SttlmTxCond/Cd
alias	SESE025	Document/SctiesSttlmTxConf/SttlmParams/SttlmTxCond/Prtry	-	-	-	-	SttlmParams/SttlmTxCond/Cd
alias	SESE025	Document/SctiesSttlmTxConf/TxSts/ConfSts	-	-	-	-	ConfSts
alias	SESE025	Document/SctiesSttlmTxConf/ConfSts	-	-	-	-	ConfSts
alias	SESE025	Document/SctiesSttlmTxConf/SttlmQty/Qty/Unit	-	-	-	-	SttlmQty
alias	SESE025	Document/SctiesSttlmTxConf/QtyAndAcctDtls/SctiesQty/QtyChc/Unit	-	-	-	-	SttlmQty
alias	SESE025	Document/SctiesSttlmTxConf/SttlmAmt	-	-	-	-	SttlmAmt
alias	SESE025	Document/SctiesSttlmTxConf/SttlmAmt/@Ccy	-	-	-	-	SttlmCcy
alias	SESE025	Document/SctiesSttlmTxConf/SctiesMvmntDtls/SctiesId/ISIN	-	-	-	-	SctiesLeg/FinInstrmId
alias	SESE025	Document/SctiesSttlmTxConf/SctiesMvmntDtls/SctiesId/OthrId/Id	-	-	-	-	SctiesLeg/FinInstrmId
alias	SESE025	Document/SctiesSttlmTxConf/SctiesMvmntDtls/Qty/QtyChc/Unit	-	-	-	-	SctiesLeg/Qty
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/DlvrgSttlmPties/Pty/Id/AnyBIC	-	-	-	-	DlvrgSttlmPties/Pty/Bic
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/DlvrgSttlmPties/Pty/Id/OrgId/AnyBIC	-	-	-	-	DlvrgSttlmPties/Pty/Bic
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/DlvrgSttlmPties/Acct/Id/Othr/Id	-	-	-	-	DlvrgSttlmPties/Acct
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/RcvgSttlmPties/Pty/Id/AnyBIC	-	-	-	-	RcvgSttlmPties/Pty/Bic
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/RcvgSttlmPties/Pty/Id/OrgId/AnyBIC	-	-	-	-	RcvgSttlmPties/Pty/Bic
alias	SESE025	Document/SctiesSttlmTxConf/SttlmPties/RcvgSttlmPties/Acct/Id/Othr/Id	-	-	-	-	RcvgSttlmPties/Acct
alias	SESE025	Document/SctiesSttlmTxConf/SplmtryData/Plan/ExecutionOrder	-	-	-	-	Plan/ExecutionOrder
alias	SESE025	Document/SctiesSttlmTxConf/SplmtryData/Plan/Atomicity	-	-	-	-	Plan/Atomicity
alias	SESE025	Document/SctiesSttlmTxConf/AddtlInf	-	-	-	-	AddtlInf
alias	SESE025	Document/SctiesSttlmTxConf/Rsn/Cd	-	-	-	-	RsnCd
